FULL_MNGMNT_BU_CD,MBU_rollup,state_lob
KSZUZ1EXOF05S,Unicare - Unicare,Unicare
KSZUZ1EXOF05Y,Unicare - Unicare,Unicare
KSZUZ1EXOFN,Unicare - Unicare,Unicare
KSZUZ1EXOFY,Unicare - Unicare,Unicare
KSZUZ1EXPR,Unicare - Unicare,Unicare
KSZUZ1EXPR02M,Unicare - Unicare,Unicare
KSZUZ1EXPR02N,Unicare - Unicare,Unicare
KSZUZ1EXPR03S,Unicare - Unicare,Unicare
KSZUZ1EXPR03Y,Unicare - Unicare,Unicare
KSZUZ1EXPR05S,Unicare - Unicare,Unicare
KSZUZ1EXPR05Y,Unicare - Unicare,Unicare
KSZUZ1EXPRN,Unicare - Unicare,Unicare
KSZUZ1EXPRY,Unicare - Unicare,Unicare
KSZUZLZX,Specialty - Unicare,Unicare
KSZUZLZXOF,Specialty - Unicare,Unicare
KSZUZLZXOFN,Specialty - Unicare,Unicare
KSZUZLZXOFY,Specialty - Unicare,Unicare
KSZUZLZXPR,Specialty - Unicare,Unicare
KSZUZLZXPRN,Specialty - Unicare,Unicare
KSZUZLZXPRY,Specialty - Unicare,Unicare
KSZZ111XOF03N,Unicare - Unicare,Unicare
KSZZ111XOF03S,Unicare - Unicare,Unicare
KSZZ111XOF03Y,Unicare - Unicare,Unicare
KSZZ111XPB01M,Unicare - Unicare,Unicare
KSZZ111XPB04N,Unicare - Unicare,Unicare
KSZZ111XPBN,Unicare - Unicare,Unicare
KSZZ111XPBY,Unicare - Unicare,Unicare
KSZZ111XPR01N,Unicare - Unicare,Unicare
KSZZ113XOF02M,Unicare - Unicare,Unicare
KSZZ113XOF04M,Unicare - Unicare,Unicare
KSZZ113XOF05S,Unicare - Unicare,Unicare
KSZZ113XOF05Y,Unicare - Unicare,Unicare
KSZZ114XOF02M,Unicare - Unicare,Unicare
KSZZ114XOF03S,Unicare - Unicare,Unicare
KSZZ114XOF03Y,Unicare - Unicare,Unicare
KSZZ114XOF04M,Unicare - Unicare,Unicare
